data_out when valid: format                                           
      Real,  dec,      Imag,  dec
1111001100,  -52,0000001011,   11
1111111001,   -7,0000111111,   63
0000101111,   47,1111010110,  -42
0000100110,   38,1111011010,  -38
1111110010,  -14,1111111001,   -7
1111111101,   -3,0000001011,   11
0000001100,   12,1111110011,  -13
1110110110,  -74,0000100101,   37
1111011010,  -38,0001011011,   91
0001001110,   78,1111011010,  -38
0001101000,  104,1110010101, -107
0000000111,    7,1111000011,  -61
1110010110, -106,0001000011,   67
1111010101,  -43,0001010100,   84
1111110011,  -13,0000010001,   17
0000001110,   14,0000010001,   17
0001001011,   75,1111010010,  -46
0000001100,   12,1111001110,  -50
0000001001,    9,0000000111,    7
0001000011,   67,1110111001,  -71
1111001000,  -56,1111101110,  -18
1101101100, -148,0010001011,  139
1111000000,  -64,0001111111,  127
0001000101,   69,1111111100,   -4
0000101110,   46,1111010111,  -41
1111010111,  -41,0000101110,   46
0001010111,   87,0000000100,    4
0010011000,  152,1101100010, -158
0000000001,    1,1110110111,  -73
1110000000, -128,0001100000,   96
1111011100,  -36,0001010111,   87
0001001011,   75,1111010010,  -46
1111110000,  -16,1111100010,  -30
1111100001,  -31,0000111011,   59
0000110100,   52,1111100110,  -26
1111101101,  -19,1111101110,  -18
1111110101,  -11,0000101001,   41
0000100100,   36,1111100110,  -26
1111010101,  -43,0000001011,   11
1111100110,  -26,0001000011,   67
0000101000,   40,1111110000,  -16
0000010000,   16,1111101100,  -20
0000001110,   14,0000000001,    1
0001001001,   73,1111001000,  -56
0000001001,    9,1111000111,  -57
1111100111,  -25,0000001110,   14
0000001101,   13,1111110001,  -15
1111010010,  -46,1111111110,   -2
1110010100, -108,0001101000,  104
1111001011,  -53,0001100001,   97
0000010001,   17,0000100000,   32
0000111110,   62,1111101001,  -23
0001000010,   66,1111010000,  -48
0000000110,    6,1111101101,  -19
1111111000,   -8,0000011010,   26
1111101001,  -23,0000011011,   27
1111001010,  -54,0001001000,   72
1111110100,  -12,0001000111,   71
0000011101,   29,0000010010,   18
0001111100,  124,1111001000,  -56
0000111000,   56,1110101010,  -86
1110110111,  -73,0000111000,   56
0000000011,    3,0001000011,   67
0001110011,  115,1110101001,  -87
0000011101,   29,1110111010,  -70
1111000110,  -58,0000100111,   39
1111000101,  -59,0001001101,   77
1111001011,  -53,0001000111,   71
0001001110,   78,0000000111,    7
0010001011,  139,1101110111, -137
1111001111,  -49,1111100110,  -26
1101111110, -130,0010010010,  146
0000110011,   51,0000101000,   40
0000111011,   59,1110110110,  -74
1111001011,  -53,0000101100,   44
1111100100,  -28,0001010010,   82
0001011001,   89,1111011111,  -33
0000101111,   47,1111000011,  -61
0000010111,   23,1111110011,  -13
0000010001,   17,1111101111,  -17
1111110001,  -15,1111111101,   -3
1111010110,  -42,0000110010,   50
1111101001,  -23,0000100110,   38
0000111000,   56,1111111000,   -8
0001011100,   92,1110011101,  -99
0000001101,   13,1111001011,  -53
1110011001, -103,0000111010,   58
1111111100,   -4,0000111110,   62
0000110000,   48,1111000101,  -59
1110100101,  -91,0000101011,   43
1111100100,  -28,0001100011,   99
0010000011,  131,1110101000,  -88
0000111100,   60,1110001110, -114
1111000110,  -58,0000010100,   20
1111111000,   -8,0000011011,   27
1111011001,  -39,0000000010,    2
1111101101,  -19,0000101001,   41
0001100010,   98,1110111011,  -69
0000001111,   15,1110100100,  -92
1111010111,  -41,0000011001,   25
1111100000,  -32,0000001001,    9
1111001000,  -56,0000100001,   33
1111100011,  -29,0000101100,   44
0000101100,   44,1111100011,  -29
0001000100,   68,1110101111,  -81
1110111101,  -67,1111111001,   -7
1111001010,  -54,0001001110,   78
0000110010,   50,1111011110,  -34
0000100101,   37,1110110101,  -75
1110111101,  -67,0000010110,   22
1110110011,  -77,0001001110,   78
0000111010,   58,1111111001,   -7
0001011001,   89,1110000110, -122
0000001010,   10,1111000011,  -61
1110001011, -117,0000110010,   50
1111000010,  -62,0001011101,   93
0000010000,   16,1111111001,   -7
1111100111,  -25,0000000001,    1
0000100101,   37,0000000101,    5
1111110010,  -14,1111011111,  -33
1111100110,  -26,0000101110,   46
0000101110,   46,1111100110,  -26
1111111011,   -5,1111011110,  -34
0000001010,   10,0000001010,   10
1111011110,  -34,1111111011,   -5
1110001011, -117,0001101111,  111
1111001111,  -49,0001110110,  118
0000110110,   54,0000000110,    6
0010000010,  130,1110101111,  -81
0010000000,  128,1101110100, -140
0000001010,   10,1110111000,  -72
1101111101, -131,0001010000,   80
1110100111,  -89,0010000001,  129
0000110111,   55,0000000001,    1
0000111011,   59,1110111010,  -70
1111011000,  -40,0000010011,   19
0000001100,   12,0000011110,   30
0000110001,   49,1111010000,  -48
0000100001,   33,1111010010,  -46
0000101000,   40,1111010001,  -47
1111010000,  -48,1111110001,  -15
1110110000,  -80,0001010010,   82
0000100011,   35,0000000000,    0
1111101100,  -20,1111100111,  -25
1110100001,  -95,0001011111,   95
0000001000,    8,0000111100,   60
0001101100,  108,1110101110,  -82
1111111110,   -2,1111010110,  -42
1111010000,  -48,0000111010,   58
0001001011,   75,1111101001,  -23
0000100000,   32,1110101011,  -85
1110100001,  -95,0001000011,   67
1110110011,  -77,0001101110,  110
0000000000,    0,0000110000,   48
0001101001,  105,1111001110,  -50
0001100110,  102,1110001101, -115
1111010011,  -45,1111110011,  -13
1110011100, -100,0001101110,  110
0000000100,    4,0000110010,   50
0000011010,   26,1111110000,  -16
0000101111,   47,1111101101,  -19
0001110000,  112,1110100011,  -93
1111010011,  -45,1111010101,  -43
1110111010,  -70,0001011111,   95
0000010000,   16,0000000101,    5
1111010001,  -47,0000010000,   16
0000100010,   34,0000100001,   33
0001111000,  120,1110000111, -121
1111000011,  -61,1111100111,  -25
1101100010, -158,0010100100,  164
1111110101,  -11,0001100001,   97
0001011000,   88,1111001101,  -51
0000110110,   54,1111001100,  -52
0000011011,   27,1111101011,  -21
1111011111,  -33,0000010001,   17
1111100001,  -31,0000111001,   57
0000000110,    6,0000011000,   24
0000011001,   25,1111111100,   -4
0000110101,   53,1111100111,  -25
0000010111,   23,1111011011,  -37
0000000100,    4,0000000011,    3
0000100000,   32,1111100110,  -26
1111010101,  -43,0000000111,    7
1110100100,  -92,0001100110,  102
1111100110,  -26,0001010011,   83
0000101001,   41,0000000100,    4
0000010101,   21,0000000001,    1
0001000110,   70,1111101101,  -19
0000111011,   59,1111000100,  -60
1111000000,  -64,0000100010,   34
1111010000,  -48,0001101010,  106
0000111000,   56,1111111101,   -3
0001111010,  122,1110100111,  -89
0000010101,   21,1110111100,  -68
1110011100, -100,0001010001,   81
1111001110,  -50,0001101001,  105
0001000101,   69,1111110001,  -15
0001111110,  126,1110010110, -106
0000100000,   32,1110101100,  -84
1110010101, -107,0001000011,   67
1110011100, -100,0010000101,  133
0000011100,   28,0000101000,   40
0001110100,  116,1110101110,  -82
0000110111,   55,1110101100,  -84
1110110100,  -76,0000101000,   40
1111010111,  -41,0001010100,   84
0000110001,   49,1111110000,  -16
0001001010,   74,1110111001,  -71
1111100010,  -30,1111110101,  -11
1111101110,  -18,0000101000,   40
0000111110,   62,1111010101,  -43
1111001001,  -55,1111110011,  -13
1111101101,  -19,0001000110,   70
0000011010,   26,1111011110,  -34
0000001001,    9,1111110010,  -14
1111111001,   -7,0000000100,    4
1110110111,  -73,0000110000,   48
0000100101,   37,0000100101,   37
0001111101,  125,1110000000, -128
1111000011,  -61,1111100111,  -25
1111000100,  -60,0001011110,   94
1111111100,   -4,0000001010,   10
1111100111,  -25,0000010101,   21
0001001000,   72,1111110001,  -15
0000101111,   47,1110100011,  -93
1110011011, -101,0000111110,   62
1110110011,  -77,0001110111,  119
0001100101,  101,1111100101,  -27
0000101100,   44,1110100111,  -89
1111001110,  -50,0000101100,   44
0000011000,   24,0000010100,   20
0001000101,   69,1110110100,  -76
0000110000,   48,1110111110,  -66
1111011000,  -40,1111101111,  -17
1110001101, -115,0001011111,   95
1110111010,  -70,0001101001,  105
0001010000,   80,1111110001,  -15
0001010001,   81,1110011100, -100
1110101110,  -82,0000011111,   31
0000000011,    3,0001000100,   68
0001111101,  125,1110010000, -112
1111001110,  -50,1111011000,  -40
1111010001,  -47,0001010101,   85
0000000011,    3,1111111001,   -7
0000000000,    0,1111111110,   -2
0001010001,   81,1111001110,  -50
1111110111,   -9,1110111011,  -69
1111001111,  -49,0000110011,   51
1111111010,   -6,0000000001,    1
0000001001,    9,1111101011,  -21
1111011110,  -34,0000001001,    9
1110100011,  -93,0001001100,   76
1111111011,   -5,0001000011,   67
0001110010,  114,1110101011,  -85
0000101110,   46,1110100101,  -91
1110110011,  -77,0000100100,   36
1111100010,  -30,0000111111,   63
1111100110,  -26,0000001111,   15
1111111100,   -4,0000100010,   34
0001010100,   84,1111001111,  -49
0001001010,   74,1110010110, -106
0000000011,    3,1111010111,  -41
1111100101,  -27,1111111001,   -7
1110100011,  -93,0000110101,   53
1110111011,  -69,0001010111,   87
1111101010,  -22,0000101110,   46
0000110100,   52,1111101111,  -17
0000011000,   24,1111011111,  -33
1110101110,  -82,0000111011,   59
1111010011,  -45,0001110001,  113
0001101010,  106,1111011000,  -40
0001000110,   70,1110101100,  -84
